id,名称,艺人,价格,日期,时间,地点,演出状态
242,全场畅饮|夜猫Kpop之夜「Girl's Day」周日专场,艺人：夜猫全明星,￥88起,2022/2/27,20:30:00,上海上海 MAO Livehouse,1
243,完美倒立「甜蜜深潜」巡演 VOL.2 上海站,艺人：完美倒立,￥80起,2022/3/6,20:30:00,上海上海 MAO Livehouse,1
244,3月12日 上海 LeeyOn李昂 首张专辑《冥王星漂流日记》全国巡演,艺人：LeeyOn李昂,120-280 元,2022/3/12,20:00:00,上海Modernsky lab上海,1
245,「钝器1号」王长存 X 范妮 2021算法音乐专辑 X 打击乐 合作专场音乐会,艺人：待定,￥80起,2022/3/12,19:30:00,上海上海交响乐团音乐厅,1
246,3月12日 上海 LeeyOn李昂 首张专辑《冥王星漂流日记》巡演,艺人：LeeyOn李昂,￥120起,2022/3/12,20:00:00,上海上海 MODERNSKY LAB,1
247,超燃音乐系-英雄史诗交响电声音乐会《加勒比海盗》（C版曲目）,艺人：星空爱乐乐团,￥361起,2022/3/19,19:30:00,上海上海东方艺术中心,1
248,【摇滚兄弟呈现】没有理想的人不伤心 理想后花园+葡萄不愤怒+怪兽计划,艺人：无介绍,150 元,2022/3/25,20:00:00,上海Modernsky lab上海,1
249,【秀动呈献】时间不够以后 「爱人走了 不要再挽留」2022 上海站,艺人：时间不够以后,￥100起,2022/3/26,20:00:00,上海上海 MAO Livehouse,1
250,超燃音乐系-神秘园.雅尼.班得瑞-新世纪经典作品音乐会,艺人：星空爱乐乐团,￥266起,2022/4/17,19:30:00,上海上海东方艺术中心,1
251,【上海】光辉岁月-大师的启蒙屈红震架子鼓专场演奏会,艺人：待定,￥88起,2022/4/30,14:30:00,上海上海黄浦剧场——小剧场,1
252,【上海】菊次郎的夏天—久石让轻音乐之旅钢琴音乐会（五一假期）,艺人：今日乐团,￥95起,2022/5/4,19:30:00,上海黄浦剧场-中剧场,1
253,【演出延期，开演时间待定】前男友「满世界找你」2021巡演 上海站,艺人：冰块先生/前男友,￥100起,2022/12/31,,上海LOFAS,0
254,【演出延期，开演时间待定】【售罄】2021温和治疗新专辑「浮光」巡回 上海站,艺人：温和治疗,￥99起,2022/12/31,,上海瓦肆 VAS SHANGHAI,0
255,【演出延期，开演时间待定】【大笑喜剧】2021年度巨制《黄西脱口秀》爆笑盛宴X超级明星中文秀,艺人：黄西,￥162起,2022/12/31,,上海黄浦剧场-中剧场,0
256,【演出延期 开演时间待定】南鹤卫 2021「FANTASTIC LONELINESS 孤独幻想」——巡演 上海站,艺人：南鹤卫/Rampage Time猖獗一时,￥100起,2023/1/30,,上海育音堂（凯旋店）,0
257,【演出延期，开演时间待定】【加场售罄】丁当2021《当我们再一起》livehouse 巡回演唱会-上海站,艺人：丁当,￥230起,2023/1/31,,上海上海 MODERNSKY LAB,0
258,【演出延期，开演时间待定】马良「不确定因素」2021巡演-上海站 代表作:《往后余生》《醒着醉》,艺人：马良,￥120起,2023/1/31,,上海瓦肆 VAS SHANGHAI,0
259,【演出延期，开演时间待定】【售罄】丁当2021《当我们再一起》livehouse 巡回演唱会-上海站,艺人：丁当,￥230起,2023/1/31,,上海上海 MODERNSKY LAB,0
260,2022跨年倒计时蜜糖演唱会＆粉红派对,,,,,,1
